北京临床版编码v8.0,北京临床版名称v8.0,医保版编码v2.0,医保版名称v2.0,备注
00.01001,头部血管治疗性超声,00.0101,头部血管治疗性超声,
00.01002,颈部血管治疗性超声,00.0102,颈部血管治疗性超声,
00.02001,心脏血管治疗性超声,00.0200x001,心脏血管治疗性超声,
00.03001,周围血管治疗性超声,00.0300,周围血管治疗性超声,
00.09001,治疗性超声,00.0900x001,治疗性超声,
00.10001,化学治疗药物置入,00.1000,化学治疗物质植入,
00.11001,输注重组蛋白,00.1101,重组蛋白输注,
00.12001,一氧化氮疗法,00.1201,一氧化氮疗法,
00.13001,输注人类B型钠尿肽(hBNP),00.1301,人类B型钠尿肽（hBNP）输注,
00.14001,注射噁唑烷酮类抗生素,00.1400x001,注射噁唑烷酮类抗生素,
00.14002,输注噁唑烷酮类抗生素,00.1400x002,输注噁唑烷酮类抗生素,
00.15001,输注白细胞介素,00.1500x001,输注白细胞介素,
00.15002,注射阿地白细胞介素,00.1500x002,注射阿地白细胞介素,
00.16002,经活体外血管治疗,00.1601,经活体外血管治疗,
00.16003,高压移植[引导],00.1602,高压移植[引导],
00.17001,灌注血管加压剂,00.1700,血管加压剂灌注,
00.18001,单克隆抗体治疗,00.1801,单克隆抗体治疗,
00.18002,多克隆抗体治疗,00.1802,多克隆抗体治疗,
00.19001,输注破坏血脑屏障物质[BBBD],00.1900,经输注的血脑屏障破坏术[BBBD],
00.21002,颈动脉血管内超声(IVUS),00.2101,颈动脉血管内超声(IVUS),
00.21003,颅外脑血管血管内超声(IVUS),00.2102,颅外脑血管血管内超声(IVUS),
00.22002,胸内血管血管内超声(IVUS),00.2201,胸内血管血管内超声(IVUS),
00.22003,胸主动脉血管内超声(IVUS),00.2202,胸主动脉血管内超声(IVUS),
00.23002,周围血管血管内超声(IVUS),00.2300x002,周围血管血管内超声(IVUS),
00.23003,上肢血管血管内超声(IVUS),00.2300x003,上肢血管血管内超声(IVUS),
00.23004,下肢血管血管内超声(IVUS),00.2300x004,下肢血管血管内超声(IVUS),
00.24001,冠状动脉血管内超声(IVUS),00.2400x001,冠状动脉血管内超声(IVUS),
00.25002,肾血管血管内超声(IVUS),00.2500x002,肾血管血管内超声(IVUS),
00.29001,血管内超声,00.2900x001,血管内超声,
00.31001,CT/CTA计算机辅助外科,00.3101,CT导航计算机辅助外科手术,
00.32001,MR神经导航辅助外科,00.3201,MR神经导航计算机辅助外科手术,
00.32002,MRA神经导航辅助外科,00.3200x001,MRA神经导航辅助外科,
00.33001,荧光透视计算机辅助外科,00.3300,荧光透视的计算机辅助外科手术,
00.34001,无显像导航计算机辅助外科,00.3400x002,磁导航计算机辅助外科,
00.34002,磁导航计算机辅助外科,00.3400x002,磁导航计算机辅助外科,
00.35001,显像导航计算机辅助外科,00.3500x001,显像导航计算机辅助外科,
00.39001,计算机辅助外科,00.3900x001,计算机辅助外科,
00.40001,单一血管的操作,00.4000,单根血管操作,
00.41001,两支血管的操作,00.4100,两根血管操作,
00.42001,三支血管的操作,00.4200,三根血管操作,
00.43001,四支血管的操作,00.4301,四根血管操作,
00.43002,四支以上血管的操作,00.4302,四根以上血管操作,
