北京临床版编码v7.0,北京临床版名称v7.0,国家临床版编码2.0,附加代码,国家临床版名称2.0,
A00.001,古典生物型霍乱,A00.000x001,,古典生物型霍乱,A00.000x001
A00.101,埃尔托生物型霍乱,A00.100x001,,埃尔托生物型霍乱,A00.100x001
A00.901,霍乱,A00.900,,霍乱,A00.900
A00.902,霍乱轻型,A00.900x002,,霍乱轻型,A00.900x002
A00.903,霍乱中型,A00.900x003,,霍乱中型,A00.900x003
A00.904,霍乱重型,A00.900x004,,霍乱重型,A00.900x004
A00.905,霍乱暴发型,A00.900x005,,霍乱暴发型,A00.900x005
A01.001,伤寒,A01.000,,伤寒,A01.000
A01.002,伤寒杆菌败血症,A01.000x002,,伤寒杆菌败血症,A01.000x002
A01.003+G01*,伤寒并发脑膜炎,A01.000x003,?G01*,伤寒并发脑膜炎,A01.000x003+G01*
A01.004,伤寒复发,A01.000x004,,伤寒复发,A01.000x004
A01.005+J17.0*,伤寒并发肺炎,A01.000x005,?J17.0*,伤寒并发肺炎,A01.000x005+J17.0*
A01.006,伤寒迁延型,A01.000x006,,伤寒迁延型,A01.000x006
A01.007,伤寒逍遥型,A01.000x007,,伤寒逍遥型,A01.000x007
A01.008,伤寒并发腹膜炎,A01.000x008,,伤寒并发腹膜炎,A01.000x008
A01.009,伤寒并发肠穿孔,A01.000x009,,伤寒并发肠穿孔,A01.000x009
A01.010,伤寒并发肠出血,A01.000x010,,伤寒并发肠出血,A01.000x010
A01.011,伤寒并发中毒性肝炎,A01.000x011,,伤寒并发中毒性肝炎,A01.000x011
A01.012,伤寒并发支气管炎,A01.000x012,,伤寒并发支气管炎,A01.000x012
A01.014,伤寒并发胆囊炎,A01.000x014,,伤寒并发胆囊炎,A01.000x014
A01.016+I41.0*,伤寒并发中毒性心肌炎,A01.000x016,?I41.0*,伤寒并发中毒性心肌炎,A01.000x016+I41.0*
A01.017,伤寒轻型,A01.000x017,,伤寒轻型,A01.000x017
A01.018,伤寒普通型,A01.000x018,,伤寒普通型,A01.000x018
A01.019,伤寒暴发型,A01.000x019,,伤寒暴发型,A01.000x019
A01.020,伤寒再燃,A01.000x020,,伤寒再燃,A01.000x020
A01.101,副伤寒甲,A01.100,,副伤寒甲,A01.100
A01.201,副伤寒乙,A01.200,,副伤寒乙,A01.200
A01.301,副伤寒丙,A01.300,,副伤寒丙,A01.300
A01.401,副伤寒,A01.400,,副伤寒,A01.400
A02.001,沙门菌肠炎,A02.000,,沙门菌肠炎,A02.000
A02.002,沙门菌胃肠炎,A02.003,,沙门菌胃肠炎,A02.003
A02.003,沙门菌伦敦血清型肠炎,A02.002,,沙门菌伦敦血清型肠炎,A02.002
A02.004,鼠伤寒沙门菌肠炎,A02.004,,鼠伤寒沙门菌肠炎,A02.004
A02.005,婴儿沙门菌肠炎,A02.000x005,,婴儿沙门菌肠炎,A02.000x005
A02.006,C群沙门菌肠炎,A02.000x006,,C群沙门菌肠炎,A02.000x006
A02.007,B群沙门菌肠炎,A02.000x007,,B群沙门菌肠炎,A02.000x007
A02.008,阿哥拉沙门菌肠炎,A02.001,,阿哥拉沙门菌肠炎,A02.001
A02.009,沙门菌小肠炎,A02.000x009,,沙门菌小肠炎,A02.000x009
A02.010,猪霍乱沙门菌肠炎,A02.000x010,,猪霍乱沙门菌肠炎,A02.000x010
A02.101,沙门菌败血症,A02.100,,沙门菌败血症,A02.100
A02.102,鼠伤寒沙门菌败血症,A02.100x002,,鼠伤寒沙门菌败血症,A02.100x002
A02.103,猪霍乱沙门菌败血症,A02.101,,猪霍乱沙门菌败血症,A02.101
