V6.01主码,主码名称
D16.413,眼窝骨良性肿瘤
D16.414,顶骨良性肿瘤
D16.415,蝶骨良性肿瘤
D16.416,颞骨良性肿瘤
D16.417,眶骨良性肿瘤
D16.418,颅骨良性肿瘤
D16.419,乳突骨良性肿瘤
D16.420,面骨良性肿瘤
D16.421,颧骨良性肿瘤
D16.422,鼻骨良性肿瘤
D16.423,上颌骨良性肿瘤
D16.424,鼻甲骨良性肿瘤
D16.425,犁骨良性肿瘤
D16.501,下颌骨良性肿瘤
D16.502,髁突良性肿瘤
D16.601,脊柱良性肿瘤
D16.602,颈椎良性肿瘤
D16.603,胸椎良性肿瘤
D16.604,腰椎良性肿瘤
D16.605,椎骨良性肿瘤
D16.701,肋骨良性肿瘤
D16.702,胸骨良性肿瘤
D16.703,锁骨良性肿瘤
D16.801,耻骨良性肿瘤
D16.802,髂骨良性肿瘤
D16.803,盆骨良性肿瘤
D16.804,骶骨良性肿瘤
D16.805,尾骨良性肿瘤
D16.806,髋骨良性肿瘤
D16.807,坐骨良性肿瘤
D16.901,骨良性肿瘤
D16.902,关节软骨良性肿瘤
D16.903,软骨良性肿瘤
D17.001,下颌下腺脂肪瘤
D17.003,头部脂肪瘤
D17.004,肩部脂肪瘤
D17.005,颈部脂肪瘤
D17.006,面部脂肪瘤
D17.101,躯干脂肪瘤
D17.102,乳房脂肪瘤
D17.103,胸壁脂肪瘤
D17.201,肢体脂肪瘤
D17.202,上肢脂肪瘤
D17.203,手脂肪瘤
D17.204,下肢脂肪瘤
D17.205,足脂肪瘤
D17.301,大阴唇脂肪瘤
D17.302,外阴脂肪瘤
D17.303,阴道脂肪瘤
D17.304,皮肤脂肪瘤
D17.305,皮下脂肪瘤
D17.401,纵隔脂肪瘤
D17.402,胸膜脂肪瘤
D17.403,胸腔脂肪瘤
D17.501,肠系膜脂肪瘤
D17.503,肠脂肪瘤
D17.504,腹腔脂肪瘤
D17.505,盆腔脂肪瘤
D17.506,腹膜脂肪瘤
D17.601,精索脂肪瘤
D17.602,阴茎脂肪瘤
D17.603,阴囊脂肪瘤
D17.701,鞍区脂肪瘤
D17.702,腹膜后脂肪瘤
D17.703,喉脂肪瘤
D17.704,脊髓圆锥脂肪瘤
D17.705,结膜脂肪瘤
D17.706,梨状窝脂肪瘤
D17.707,颅骨脂肪瘤
D17.708,神经系统脂肪瘤
D17.709,颅内脂肪瘤
D17.710,硬膜内脂肪瘤
D17.711,硬膜外脂肪瘤
D17.712,脑桥脂肪瘤
D17.713,小脑角脂肪瘤
D17.714,腹壁脂肪瘤
D17.715,肝脂肪瘤
D17.716,肾脂肪瘤
D17.717,贲门脂肪瘤
D17.718,腹股沟脂肪瘤
D17.719,气管脂肪瘤
D17.720,腮腺脂肪瘤
D17.721,舌脂肪瘤
D17.722,食管脂肪瘤
D17.723,支气管脂肪瘤
D17.724,子宫体脂肪瘤
D17.725,脊髓脂肪瘤
D17.726,椎管内脂肪瘤
D17.727,肛旁脂肪瘤
D17.728,骨脂肪瘤
D17.729,肾上腺脂肪瘤
D17.901,多发性脂肪瘤
D17.902,脂肪瘤
D18.001,血管瘤
D18.002,结膜血管瘤
D18.003,节段性血管瘤病
D18.004,蓝色橡皮大疱性痣综合征
D18.005,溃疡残毁性血管瘤病
D18.010,腹壁血管瘤
D18.011,面部血管瘤
D18.012,颈部血管瘤
D18.013,皮肤血管瘤
D18.014,躯干血管瘤
D18.015,肢体血管瘤
D18.017,头部血管瘤
D18.018,肢端血管瘤
D18.021,颅骨血管瘤
D18.022,脑血管瘤
D18.023,硬膜外血管瘤
D18.024,椎管内血管瘤
D18.025,脊柱血管瘤
D18.026,脑干血管瘤
D18.027,蝶鞍旁血管瘤
D18.028,颅内血管瘤
D18.030,肝血管瘤
D18.031,胰腺血管瘤
D18.040,贲门血管瘤
D18.041,肠系膜血管瘤
D18.042,肠血管瘤
D18.043,结肠血管瘤
D18.044,脾血管瘤
D18.045,食道血管瘤
D18.046,小肠血管瘤
D18.0501,鼻窦血管瘤
D18.0503,鼻部血管瘤
D18.0504,鼻咽血管瘤
D18.0505,唇部血管瘤
D18.0506,外耳道血管瘤
D18.0507,喉部血管瘤
D18.0508,口腔血管瘤
D18.0510,咽部血管瘤
D18.0511,梨状窝血管瘤
D18.0800,肺血管瘤
D18.0801,腹膜后血管瘤
D18.0802,骨血管瘤
D18.0804,眶内血管瘤
D18.0805,脉络膜血管瘤
D18.0806,尿道口血管瘤
D18.0807,腮腺血管瘤
D18.0808,唾液腺血管瘤
D18.0809,舌部血管瘤
D18.0810,肾上腺血管瘤
D18.0811,肾血管瘤
D18.0812,外阴血管瘤
D18.0814,纵隔血管瘤
D18.0815,龟头血管瘤
D18.0816,乳房血管瘤
D18.0817,女性生殖器血管瘤
D18.0818,男性生殖器血管瘤
D18.0819,膀胱血管瘤
D18.0820,腹腔血管瘤
D18.0821,眼球血管瘤
D18.0822,盆腔血管瘤
D18.0823,上颌骨血管瘤
D18.0824,小阴唇血管瘤
D18.0825,肛门血管瘤
D18.0828,婴儿血管瘤(重症)
D18.0835,心房血管瘤
D18.0836,胸壁血管瘤
D18.0837,肺动脉瓣下血管瘤
D18.0838,上消化道血管瘤
D18.0839,甲状腺血管瘤
D18.0840,心包血管瘤
D18.0841,心室血管瘤
D18.101,肠系膜淋巴管瘤
D18.102,腹膜后淋巴管瘤
D18.103,海绵状淋巴管瘤
D18.104,口腔内淋巴管瘤
D18.105,面部淋巴管瘤
D18.106,淋巴管瘤
D18.107,颅内淋巴管瘤
D18.108,硬脑膜下淋巴管瘤
D18.109,躯干淋巴管瘤
D18.110,腮腺淋巴管瘤
D18.111,舌淋巴管瘤
D18.112,肢体淋巴管瘤
D18.113,头部淋巴管瘤
D18.114,血管淋巴管瘤
D18.115,纵隔淋巴管瘤
D18.116,颈部淋巴管瘤
D18.117,阴囊淋巴管瘤
D18.118,会阴淋巴管瘤
D18.119,腹股沟淋巴管瘤
D18.120,腹腔淋巴管瘤
D18.121,下颌下腺淋巴管瘤
D18.122,盆腔淋巴管瘤
D18.123,脾淋巴管瘤
D18.124,下肢淋巴管瘤
D18.125,胸淋巴管瘤
D18.126,胸腺淋巴管瘤
D18.127,唇部淋巴管瘤
D19.001,胸膜良性间皮瘤
D19.101,腹膜良性间皮瘤
D19.901,良性间皮瘤
D20.001,腹膜后良性肿瘤
D20.101,肠系膜良性肿瘤
D20.102,腹膜良性肿瘤
D20.103,网膜良性肿瘤
D21.001,耳部结缔组织良性肿瘤
D21.002,耳软骨良性肿瘤
D21.003,耳后皮下良性肿瘤
D21.005,颈部结缔组织良性肿瘤
D21.006,面部结缔组织良性肿瘤
D21.007,锁骨上结缔组织良性肿瘤
D21.008,头部结缔组织良性肿瘤
D21.010,眼睑结缔组织良性肿瘤
D21.102,上肢结缔组织良性肿瘤
D21.103,肘部结缔组织良性肿瘤
D21.104,上肢端结缔组织良性肿瘤
D21.106,肩胛区结缔组织良性肿瘤
D21.202,足部结缔组织良性肿瘤
D21.203,膝关节滑膜良性肿瘤
D21.204,腘窝结缔组织良性肿瘤
D21.205,髋部结缔组织良性肿瘤
D21.206,下肢结缔组织良性肿瘤
D21.207,下肢端结缔组织良性肿瘤
D21.301,胸壁结缔组织良性肿瘤
D21.302,腋结缔组织良性肿瘤
D21.303,膈良性肿瘤
D21.304,胸骨后结缔组织良性肿瘤
D21.305,大血管良性肿瘤
D21.401,腹部结缔组织良性肿瘤
D21.402,髂窝结缔组织良性肿瘤
D21.403,髂腰肌结缔组织良性肿瘤
D21.404,下腔静脉良性肿瘤
D21.405,腰部结缔组织良性肿瘤
D21.406,腹主动脉旁良性肿瘤
D21.501,骶部结缔组织良性肿瘤
D21.502,骶前结缔组织良性肿瘤
D21.503,腹股沟结缔组织良性肿瘤
D21.504,尿道旁结缔组织良性肿瘤
D21.505,盆腔结缔组织良性肿瘤
D21.601,背部结缔组织良性肿瘤
D21.602,躯干结缔组织良性肿瘤
D21.901,肌肉良性肿瘤
D21.902,结缔组织良性肿瘤
D21.903,结缔组织及软组织良性肿瘤
D21.905,粘液囊良性肿瘤
D21.907,筋膜良性肿瘤
D21.908,脂肪良性肿瘤
D21.909,韧带良性肿瘤
D21.912,滑膜良性肿瘤
D21.913,腱鞘良性肿瘤
D21.914,肢体多处结缔组织良性肿瘤
D22.001,唇黑色素痣
D22.102,眼睑黑色素痣
D22.103,结膜黑色素痣
D22.104,眼皮黑色素痣
D22.201,外耳道黑色素痣
D22.202,耳部黑色素痣
D22.301,面部黑色素痣
D22.402,头皮黑色素痣
D22.403,颈部黑色素痣
D22.501,躯干黑色素痣
D22.502,乳房皮肤黑色素痣
D22.504,肛周皮肤黑色素痣
D22.505,外阴黑色素痣
D22.601,上肢黑色素痣
D22.701,下肢黑色素痣
D22.901,黑色素痣
D22.902,痣
D22.903,甲下痣
D22.917,大汗腺黑色素痣
D22.921,假性黑色素瘤
D23.001,唇皮肤良性肿瘤
D23.101,眼睑良性肿瘤
D23.102,内眦良性肿瘤
D23.103,外眦良性肿瘤
D23.202,耳廓良性肿瘤
D23.203,耳皮肤良性肿瘤
D23.205,外耳道良性肿瘤
D23.208,耳后皮肤良性肿瘤
D23.301,鼻部皮肤良性肿瘤
D23.303,鼻唇沟良性肿瘤
D23.304,颊部皮肤良性肿瘤
D23.305,眉良性肿瘤
D23.306,面部皮肤良性肿瘤
D23.402,颈部皮肤良性肿瘤
D23.403,头皮良性肿瘤
D23.501,背部皮肤良性肿瘤
D23.502,腹部皮肤良性肿瘤
D23.503,肛门皮肤良性肿瘤
D23.504,躯干皮肤良性肿瘤
D23.505,臀部皮肤良性肿瘤
D23.506,胸部皮肤良性肿瘤
D23.507,腋下皮肤良性肿瘤
D23.508,乳房皮肤良性肿瘤
D23.509,肛周皮肤良性肿瘤
D23.510,会阴皮肤良性肿瘤
D23.601,上肢皮肤良性肿瘤
D23.602,上肢端皮肤良性肿瘤
D23.603,肩部皮肤良性肿瘤
D23.701,下肢皮肤良性肿瘤
D23.702,下肢端皮肤良性肿瘤
D23.901,皮肤良性肿瘤
D24xx01,乳腺良性肿瘤
D25.001,子宫粘膜下平滑肌瘤
D25.002,子宫颈粘膜下平滑肌瘤
D25.101,子宫肌壁间平滑肌瘤
D25.102,子宫颈壁内平滑肌瘤
D25.201,子宫浆膜下平滑肌瘤
D25.901,子宫多发性平滑肌瘤
D25.902,子宫平滑肌瘤
D25.903,子宫颈平滑肌瘤
D26.001,子宫颈良性肿瘤
D26.101,子宫体良性肿瘤
D26.102,子宫腺肌瘤
D26.701,胎盘良性肿瘤
D26.901,子宫良性肿瘤
D27xx01,卵巢良性肿瘤
D28.001,外阴良性肿瘤
D28.002,阴唇良性肿瘤
D28.101,阴道良性肿瘤
D28.201,阔韧带良性肿瘤
D28.202,卵巢冠良性肿瘤
D28.203,输卵管良性肿瘤
D28.204,子宫韧带良性肿瘤
D28.205,圆韧带良性肿瘤
D28.901,女性生殖器官良性肿瘤
D29.001,龟头良性肿瘤
D29.002,阴茎良性肿瘤
D29.101,前列腺良性肿瘤
D29.201,睾丸良性肿瘤
D29.301,附睾良性肿瘤
D29.401,阴囊良性肿瘤
D29.701,精囊良性肿瘤
D29.702,精索良性肿瘤
D29.703,鞘膜良性肿瘤
D29.704,输精管良性肿瘤
D30.001,肾良性肿瘤
D30.101,肾盂良性肿瘤
D30.201,输尿管良性肿瘤
D30.202,输尿管口良性肿瘤
D30.301,膀胱良性肿瘤
D30.302,输尿管膀胱口良性肿瘤
D30.303,尿道膀胱口良性肿瘤
D30.401,尿道良性肿瘤
D30.402,尿道内口良性肿瘤
D30.701,尿道旁腺良性肿瘤
D30.901,泌尿系统良性肿瘤
D31.001,结膜良性肿瘤
D31.101,角膜良性肿瘤
D31.201,视网膜良性肿瘤
D31.301,脉络膜良性肿瘤
D31.401,虹膜良性肿瘤
D31.402,睫状体良性肿瘤
D31.404,眼球良性肿瘤
D31.501,泪管良性肿瘤
D31.502,泪腺良性肿瘤
D31.503,鼻泪管良性肿瘤
D31.505,泪囊良性肿瘤
D31.601,眶内良性肿瘤
D31.602,眼球后良性肿瘤
D31.603,眼眶良性肿瘤
D31.604,眶结缔组织良性肿瘤
D31.605,眶周神经良性肿瘤
D31.606,眼外肌良性肿瘤
D31.901,眼良性肿瘤
D32.001,鞍部脑膜瘤
D32.002,鞍隔脑膜瘤
D32.003,鞍结节脑膜瘤
D32.004,大脑镰脑膜瘤
D32.005,大脑镰旁脑膜瘤
D32.006,蝶鞍区脑膜瘤
D32.007,蝶骨嵴脑膜瘤
D32.008,蝶骨脑膜瘤
D32.009,顶叶脑膜瘤
D32.010,额叶脑膜瘤
D32.011,横窦脑膜瘤
D32.012,颅后窝脑膜瘤
D32.013,颅前窝脑膜瘤
D32.014,颅窝脑膜瘤
D32.015,颅中窝脑膜瘤
D32.016,脑室脑膜瘤
D32.017,颞叶脑膜瘤
D32.018,前床突脑膜瘤
D32.019,桥脑脑膜瘤
D32.020,筛窦脑膜瘤
D32.021,矢状窦脑膜瘤
D32.022,矢状窦旁脑膜瘤
D32.023,小脑慕脑膜瘤
D32.024,小脑脑膜瘤
D32.025,嗅沟脑膜瘤
D32.026,岩骨脑膜瘤
D32.027,枕骨大孔脑膜瘤
D32.028,枕叶脑膜瘤
D32.029,中颅窝脑膜瘤
D32.030,蝶鞍上脑膜瘤
D32.031,侧脑室脑膜瘤
D32.032,大脑皮层多部位脑膜瘤
D32.033,脑膜良性肿瘤
D32.034,斜坡脑膜瘤
D32.035,脑桥小脑角脑膜瘤
D32.036,硬脑膜下脑膜瘤
D32.037,岩骨斜坡脑膜瘤
D32.101,脊膜瘤
D32.102,硬脊膜下良性肿瘤
D32.901,皮肤脑膜瘤
D32.902,脑膜瘤
D32.903,脑脊膜瘤
D33.002,脉络丛良性肿瘤
D33.003,脑室良性肿瘤
D33.004,矢状窦良性肿瘤
D33.005,小脑幕上良性肿瘤
D33.006,大脑良性肿瘤
D33.007,额叶良性肿瘤
D33.008,枕叶良性肿瘤
D33.009,顶叶良性肿瘤
D33.010,颞叶良性肿瘤
D33.101,脑干良性肿瘤
D33.102,桥脑良性肿瘤
D33.103,小脑良性肿瘤
D33.104,第四脑室良性肿瘤
D33.105,小脑幕下良性肿瘤
D33.201,颅内良性肿瘤
D33.202,脑良性肿瘤
D33.203,颅窝良性肿瘤
D33.301,脑神经良性肿瘤
D33.302,嗅神经良性肿瘤
D33.303,嗅球良性肿瘤
D33.304,视神经良性肿瘤
D33.305,视神经乳头良性肿瘤
D33.306,动眼神经良性肿瘤
D33.307,滑车神经良性肿瘤
D33.308,三叉神经良性肿瘤
D33.309,外展神经良性肿瘤
D33.310,面神经良性肿瘤
D33.311,听神经良性肿瘤
D33.312,舌咽神经良性肿瘤
D33.313,迷走神经良性肿瘤
D33.314,副神经良性肿瘤
D33.315,舌下神经良性肿瘤
D33.401,脊髓良性肿瘤
D33.402,马尾良性肿瘤
D33.403,脊髓圆锥良性肿瘤
D33.701,颅眶沟通良性肿瘤
D33.702,颅鼻眶沟通良性肿瘤
D33.703,颈静脉孔区良性肿瘤
D33.901,硬脑膜外良性肿瘤
D33.902,硬脊膜外良性肿瘤
D33.903,蝶鞍旁良性肿瘤
D33.904,椎管内良性肿瘤
D33.905,硬膜外良性肿瘤
D34xx01,甲状舌管良性肿瘤
D34xx02,甲状腺良性肿瘤
D34xx03,胸骨后甲状腺良性肿瘤
D34xx05,异位甲状腺良性肿瘤
D35.001,肾上腺良性肿瘤
D35.101,甲状旁腺良性肿瘤
D35.102,异位甲状旁腺良性肿瘤
D35.201,垂体良性肿瘤
D35.204,垂体无功能良性肿瘤
D35.207,垂体微小良性肿瘤
D35.301,颅咽管良性肿瘤
D35.401,松果体良性肿瘤
D35.501,颈动脉体良性肿瘤
D35.901,内分泌腺良性肿瘤
D36.001,淋巴结良性肿瘤
D36.101,周围神经和自主神经系统良性肿瘤
D36.102,头部周围神经和自主神经良性肿瘤
D36.103,面部周围神经和自主神经良性肿瘤
D36.104,颈部周围神经和自主神经良性肿瘤
D36.105,耳部周围神经和自主神经良性肿瘤
D36.106,颞下窝周围神经和自主神经良性肿瘤
D36.107,翼腭窝周围神经和自主神经良性肿瘤
D36.108,咽旁间隙周围神经和自主神经良性肿瘤
D36.109,咽后间隙周围神经和自主神经良性肿瘤
D36.110,眼睑周围神经和自主神经良性肿瘤
D36.111,鼻部周围神经和自主神经良性肿瘤
D36.112,颈丛良性肿瘤
D36.113,上肢周围神经和自主神经良性肿瘤
D36.114,肩部周围神经和自主神经良性肿瘤
D36.115,手部周围神经和自主神经良性肿瘤
D36.116,腕部周围神经和自主神经良性肿瘤
D36.117,臂神经良性肿瘤
D36.118,臂丛良性肿瘤
D36.119,正中神经良性肿瘤
D36.120,桡神经良性肿瘤
D36.121,尺神经良性肿瘤
D36.122,下肢周围神经和自主神经良性肿瘤
D36.123,髋部周围神经和自主神经良性肿瘤
D36.124,足部周围神经和自主神经良性肿瘤
D36.125,髂部周围神经和自主神经良性肿瘤
D36.126,踝部周围神经和自主神经良性肿瘤
D36.127,股神经良性肿瘤
D36.128,闭孔神经良性肿瘤
D36.129,坐骨神经良性肿瘤
D36.130,胸部周围神经和自主神经良性肿瘤
D36.132,腋部周围神经和自主神经良性肿瘤
D36.133,膈部周围神经和自主神经良性肿瘤
D36.135,肩胛区周围神经和自主神经良性肿瘤
D36.136,肋间神经良性肿瘤
D36.137,腹部周围神经和自主神经良性肿瘤
D36.139,脐部周围神经和自主神经良性肿瘤
D36.141,骨盆周围神经和自主神经良性肿瘤
D36.142,臀部周围神经和自主神经良性肿瘤
D36.143,腹股沟周围神经和自主神经良性肿瘤
D36.144,会阴周围神经和自主神经良性肿瘤
D36.145,骶部周围神经和自主神经良性肿瘤
D36.146,骶尾周围神经和自主神经良性肿瘤
D36.147,直肠膀胱隔周围神经和自主神经良性肿瘤
D36.148,直肠阴道隔周围神经和自主神经良性肿瘤
D36.149,直肠周围周围神经和自主神经良性肿瘤
D36.150,坐骨直肠窝周围神经和自主神经良性肿瘤
D36.151,盆腔周围神经和自主神经良性肿瘤
D36.152,腰骶丛良性肿瘤
D36.153,骶神经良性肿瘤
D36.154,骶丛良性肿瘤
D36.155,躯干周围神经和自主神经良性肿瘤
D36.156,背部周围神经和自主神经良性肿瘤
D36.157,腰部周围神经和自主神经良性肿瘤
D36.158,腰神经良性肿瘤
D36.701,头部良性肿瘤
D36.702,面部良性肿瘤
D36.703,颈部良性肿瘤
D36.704,颞部良性肿瘤
D36.705,颊部良性肿瘤
D36.706,咽旁间隙良性肿瘤
D36.707,鼻部良性肿瘤
D36.708,胸良性肿瘤
D36.709,腋窝良性肿瘤
D36.710,胸腔良性肿瘤
D36.711,肩胛区良性肿瘤
D36.712,锁骨下良性肿瘤
D36.713,膈下良性肿瘤
D36.714,腹部良性肿瘤
D36.715,腹腔良性肿瘤
D36.716,骨盆良性肿瘤
D36.717,腹股沟良性肿瘤
D36.718,直肠膀胱隔良性肿瘤
D36.719,直肠阴道隔良性肿瘤
D36.720,臀部良性肿瘤
D36.721,会阴良性肿瘤
D36.722,骶部良性肿瘤
D36.723,骶尾良性肿瘤
D36.724,骶前良性肿瘤
D36.725,尿道旁良性肿瘤
D36.726,盆腔良性肿瘤
D36.727,上肢良性肿瘤
D36.728,肩部良性肿瘤
D36.729,手部良性肿瘤
D36.730,腕部良性肿瘤
D36.731,下肢良性肿瘤
D36.732,腘窝良性肿瘤
D36.733,髋部良性肿瘤
D36.734,足部良性肿瘤
D36.735,髂良性肿瘤
D36.736,踝部良性肿瘤
D36.737,背部良性肿瘤
D36.738,腰部良性肿瘤
D36.739,躯干良性肿瘤
D37.001,扁桃体交界性肿瘤
D37.002,唇交界性肿瘤
D37.003,腮腺交界性肿瘤
D37.004,唾液腺交界性肿瘤
D37.005,咽部交界性肿瘤
D37.006,杓状会厌褶交界性肿瘤
D37.007,唇红缘交界性肿瘤
D37.008,大唾液腺交界性肿瘤
D37.009,小唾液腺交界性肿瘤
D37.010,齿龈交界性肿瘤
D37.011,鼻咽交界性肿瘤
D37.012,舌根交界性肿瘤
D37.013,口底交界性肿瘤
D37.014,腭交界性肿瘤
D37.015,颊黏膜交界性肿瘤
D37.101,贲门交界性肿瘤
D37.102,胃交界性肿瘤
D37.201,十二指肠交界性肿瘤
D37.202,小肠交界性肿瘤
D37.301,阑尾交界性肿瘤
D37.401,结肠交界性肿瘤
D37.402,乙状结肠交界性肿瘤
D37.501,直肠交界性肿瘤
D37.502,直肠乙状结肠连接部交界性肿瘤
D37.601,胆囊交界性肿瘤
D37.602,法特壶腹交界性肿瘤
D37.603,肝交界性肿瘤
D37.604,肝胆管交界性肿瘤
D37.701,肠交界性肿瘤
D37.702,食管交界性肿瘤
D37.703,胰腺交界性肿瘤
D37.705,脾交界性肿瘤
D37.707,肛管交界性肿瘤
D37.901,消化器官交界性肿瘤
D38.001,会厌交界性肿瘤
D38.002,喉交界性肿瘤
D38.101,肺交界性肿瘤
D38.102,气管交界性肿瘤
D38.103,支气管交界性肿瘤
D38.201,胸膜交界性肿瘤
D38.301,纵隔交界性肿瘤
D38.302,前纵隔交界性肿瘤
D38.303,后纵隔交界性肿瘤
D38.401,胸腺交界性肿瘤
D38.501,鼻腔交界性肿瘤
D38.503,鼻窦交界性肿瘤
D38.504,鼻软骨交界性肿瘤
D38.505,中耳交界性肿瘤
D38.601,呼吸系统交界性肿瘤
D39.001,子宫交界性肿瘤
D39.002,子宫内膜交界性肿瘤
D39.101,卵巢多房囊肿
D39.103,卵巢交界性肿瘤
D39.201,侵蚀性葡萄胎
D39.202,胎盘交界性肿瘤
D39.203,破坏性绒毛膜腺瘤
D39.701,输卵管交界性肿瘤
D39.702,阴道交界性肿瘤
D39.901,女性生殖器官交界性肿瘤
D40.001,前列腺交界性肿瘤
D40.102,睾丸交界性肿瘤
D40.701,附睾交界性肿瘤
D40.702,精囊交界性肿瘤
D40.703,阴茎纤维瘤病
D40.901,男性生殖器官交界性肿瘤
D41.001,肾交界性肿瘤
D41.101,肾盂交界性肿瘤
D41.201,输尿管交界性肿瘤
D41.301,尿道交界性肿瘤
D41.401,膀胱交界性肿瘤
D41.404,膀胱息肉
D41.901,泌尿生殖系统交界性肿瘤
D42.001,脑膜交界性肿瘤
D42.002,硬脑膜下交界性肿瘤
D42.101,脊膜交界性肿瘤
D42.102,硬脊膜下交界性肿瘤
D42.901,脑脊膜交界性肿瘤
D42.902,硬膜下交界性肿瘤
D43.001,枕叶交界性肿瘤
D43.002,脑室交界性肿瘤
D43.003,额叶交界性肿瘤
D43.004,顶叶交界性肿瘤
D43.005,颞叶交界性肿瘤
D43.006,大脑交界性肿瘤
D43.101,脑干交界性肿瘤
D43.102,小脑交界性肿瘤
D43.103,延髓交界性肿瘤
D43.104,第四脑室交界性肿瘤
D43.201,颅内交界性肿瘤
D43.202,脑交界性肿瘤
D43.203,颅底沟通交界性肿瘤
D43.204,颅底交界性肿瘤
D43.205,斜坡交界性肿瘤
D43.301,脑神经交界性肿瘤
D43.302,嗅神经交界性肿瘤
D43.303,视神经交界性肿瘤
D43.304,动眼神经交界性肿瘤
D43.305,滑车神经交界性肿瘤
D43.306,三叉神经交界性肿瘤
D43.307,外展神经交界性肿瘤
D43.308,面神经交界性肿瘤
D43.309,听神经交界性肿瘤
D43.310,舌咽神经交界性肿瘤
D43.311,迷走神经交界性肿瘤
D43.312,副神经交界性肿瘤
D43.313,舌下神经交界性肿瘤
D43.401,脊髓交界性肿瘤
D43.402,马尾交界性肿瘤
D43.403,颅眶沟通交界性肿瘤
D43.405,颅鼻眶沟通交界性肿瘤
D43.901,硬膜外交界性肿瘤
D43.902,椎管内交界性肿瘤
D43.903,硬脑膜外交界性肿瘤
D43.904,硬脊膜外交界性肿瘤
D44.001,甲状腺交界性肿瘤
D44.101,肾上腺交界性肿瘤
D44.201,甲状旁腺交界性肿瘤
D44.301,垂体交界性肿瘤
D44.401,颅咽管交界性肿瘤
D44.501,松果体交界性肿瘤
D44.503,松果体区交界性肿瘤
D44.602,颈动脉体交界性肿瘤
D44.702,主动脉体交界性肿瘤
D44.703,颈静脉体交界性肿瘤
D44.704,颈静脉球交界性肿瘤
D44.802,多内分泌腺瘤病
D44.901,内分泌腺交界性肿瘤
D45xx01,真性红细胞增多症
D46.001,难治性贫血不伴有铁粒幼细胞
D46.002,骨髓再生不良性贫血
D46.003,再生不良性贫血
D46.101,伴环形铁粒幼红细胞的难治性贫血
D46.102,伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多
D46.112,伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多伴缓解
D46.201,难治性贫血伴原始细胞增多
D46.301,难治性贫血伴有转化中的原始细胞过多
D46.401,难治性贫血
D46.701,难治性血细胞减少伴单一系列病态造血
D46.702,难治性中性粒细胞减少症
D46.703,难治性血小板减少症
D46.704,难治性血细胞减少伴多系病态造血
D46.705,骨髓异常增生综合征伴5q缺失
D46.706,不能分型的骨髓异常增生综合征
D46.707,儿童骨髓异常增生综合征
D46.708,儿童难治性血细胞减少
D46.901,骨髓增生异常综合征
D46.902,骨髓增生异常性贫血
D46.903,白血病前期综合征
D46.904,骨髓发育不良综合征
D46.906,治疗相关性AML和MDS
D47.101,骨髓纤维化(伴骨髓样化生)
D47.103,慢性骨髓增殖性疾病
D47.104,慢性骨髓增殖性肿瘤
D47.105,骨髓硬化(伴髓样化生)
D47.106,原发性骨髓纤维化
D47.107,慢性骨髓增殖性疾病(不能分型)
D47.108,骨髓增生异常性/骨髓增殖性肿瘤(不能分型)
D47.109,唐氏综合征相关的骨髓增殖性疾病
D47.117,慢性骨髓增殖性疾病伴缓解(不能分型)
D47.118,骨髓增生异常性/骨髓增殖性肿瘤伴缓解(不能分型)
D47.201,单克隆丙种球蛋白血症
D47.202,意义未明的单克隆丙种球蛋白病
D47.203,单克隆免疫球蛋白沉积病
D47.204+G63.1*,副蛋白血症相关神经病
D47.205+G63.1*,神经病伴副蛋白血症
D47.302,原发性血小板增多症
D47.701,淋巴样肉芽肿病
D47.702,原发性淀粉样变性
D47.703,血管免疫母细胞性淋巴结病
D47.704,朗格汉斯细胞组织细胞增生症
D47.705,B淋巴细胞克隆性疾病
D47.706,原发性系统性淀粉样变性
D47.707,Castleman病
D47.708,嗜酸性肉芽肿
D47.709,汉-许-克病
D47.901,淋巴细胞增殖性疾病
D47.902,移植后淋巴增殖性疾病
D48.001,骨交界性肿瘤
D48.002,颅骨交界性肿瘤
D48.004,上颌骨交界性肿瘤
D48.006,脊柱交界性肿瘤
D48.010,上肢骨交界性肿瘤
D48.018,下肢骨交界性肿瘤
D48.024,盆骨交界性肿瘤
D48.025,骶骨交界性肿瘤
D48.027,关节交界性肿瘤
D48.028,髂骨交界性肿瘤
D48.103,骶前结缔组织交界性肿瘤
D48.106,滑膜交界性肿瘤
D48.107,结缔组织交界性肿瘤
D48.108,颈静脉交界性肿瘤
D48.109,软组织交界性肿瘤
D48.110,上肢结缔组织交界性肿瘤
D48.111,臀部结缔组织交界性肿瘤
D48.112,下肢结缔组织交界性肿瘤
D48.113,头结缔组织交界性肿瘤
D48.114,面结缔组织交界性肿瘤
D48.115,颈结缔组织交界性肿瘤
D48.116,胸壁结缔组织交界性肿瘤
D48.117,腹壁结缔组织交界性肿瘤
D48.118,腹部结缔组织交界性肿瘤
D48.119,腹股沟结缔组织交界性肿瘤
D48.120,盆腔结缔组织交界性肿瘤
D48.121,背部结缔组织交界性肿瘤
D48.122,腰部结缔组织交界性肿瘤
D48.123,脑血管交界性肿瘤
D48.124,血管交界性肿瘤
D48.125,肢端结缔组织交界性肿瘤
D48.201,周围神经和自主神经系统交界性肿瘤
D48.202,头周围神经和自主神经交界性肿瘤
