北京临床版6.0手术编码,北京临床版6.0手术名称,2.0手术编码
00.02001,心脏治疗性超声,00.0200
00.03001,周围血管治疗性超声,00.0300
00.10001,化学治疗药物置入,00.1000
00.11001,输注重组蛋白,00.1101
00.12001,一氧化氮疗法,00.1201
00.13001,输注人类B型钠尿肽[hBNP],00.1301
00.14001,注射噁唑烷酮类抗生素,00.1400x001
00.15001,输注白细胞介素,00.1500x001
00.15002,注射阿地白细胞介素,00.1500x002
00.16001,药物静脉旁路移植加压疗法,00.1600
00.16002,经活体外血管治疗,00.1601
00.16003,高压移植[引导],00.1602
00.17001,灌注血管加压剂,00.1700
00.18001,单克隆抗体治疗,00.1801
00.18002,多克隆抗体治疗,00.1802
00.21002,颈动脉血管内超声[IVUS],00.2101
00.21003,颅外脑血管血管内超声[IVUS],00.2102
00.22002,胸内血管血管内超声[IVUS],00.2201
00.22003,胸主动脉血管内超声[IVUS],00.2202
00.23002,周围血管血管内超声[IVUS],00.2300x002
00.23003,臂血管血管内超声[IVUS],00.2300x003
00.23004,腿血管血管内超声[IVUS],00.2300x004
00.24001,冠状动脉血管内超声[IVUS],00.2400x001
00.25002,肾血管血管内超声[IVUS],00.2500x002
00.29001,血管内超声,00.2900x001
00.31001,计算机CT/CTA辅助外科,00.3101
00.32001,神经导航辅助外科MR/MRA,00.3201
00.33001,计算机荧光透视辅助外科,00.3300
00.34001,无显像导航计算机辅助外科,00.3400
00.35001,显像导航计算机辅助外科,00.3500x001
00.40001,单一血管的操作,00.4000
00.41001,两支血管的操作,00.4100
00.42001,三支血管的操作,00.4200
00.43001,四支血管的操作,00.4301
00.43002,四支以上血管的操作,00.4302
00.44001,血管分叉部位的操作,00.4400x001
00.45001,置入一个血管支架,00.4500
00.46001,置入两个血管支架,00.4600
00.47001,置入三个血管支架,00.4700
00.48001,置入四个血管支架,00.4801
00.48002,置入四个以上血管支架,00.4802
00.50001,双心室起搏器置入术,00.5000x001
00.51001,双心室起搏伴心内除颤器置入术,00.5100x001
00.52001,左心室冠状静脉导联置入术,00.5201
00.52002,左心室冠状静脉电极置换术,00.5202
00.53001,心脏再同步起搏器脉冲发生器置入术,00.5301
00.53002,心脏再同步起搏器脉冲发生器置换术,00.5302
00.54001,心脏再同步除颤器脉冲发生器置入术,00.5401
00.54002,心脏再同步除颤器脉冲发生器置换术,00.5402
00.55008,经皮降主动脉药物洗脱支架置入术,00.5500x008
00.55009,经皮周围动脉药物洗脱支架置入术,00.5500x009
00.55010,经皮周围静脉药物洗脱支架置入术,00.5500x010
00.64010,经皮锁骨下动脉药物洗脱支架置入术,00.5501
00.55007,经皮股动脉药物洗脱支架置入术,00.6000x001
00.61009,经皮颅外血管成形术,00.6100
00.61008,经皮颈总动脉球囊扩张血管成形术,00.6100x008
39.50005,颈动脉球囊扩张成形术,00.6101
00.61011,经皮椎动脉球囊扩张血管成形术,00.6102
00.62003,经皮颅内血管成形术,00.6200
00.62005,经皮大脑中动脉球囊扩张血管成形术,00.6200x005
00.61006,经皮基底动脉血管成形术,00.6201
00.61007,经皮交通动脉血管成形术,00.6202
00.55006,经皮颈动脉药物洗脱支架置入术,00.6300x007
00.64012,经皮颅外血管支架置入术,00.6400
00.64009,经皮椎动脉支架置入术,00.6400x009
00.64011,经皮椎动脉药物洗脱支架置入术,00.6400x013
00.64008,经皮椎动脉非药物洗脱支架置入术,00.6401
00.65008,经皮颅内动脉支架置入术,00.6500x008
00.65006,经皮大脑中动脉支架置入术,00.6501
00.64007,经皮基底动脉支架置入术,00.6502
00.66003,经皮冠状血管成形术,00.6600
00.66004,经皮冠状动脉球囊扩张血管成形术,00.6600x004
00.70001,髋关节假体翻修术,00.7000x001
00.71001,髋臼假体翻修术,00.7100x001
00.72001,髋关节股骨假体翻修术,00.7200x001
00.74001,金属-聚乙烯髋关节置换,00.7400
00.75001,金属-金属髋关节置换,00.7500
00.76001,陶瓷-陶瓷髋关节置换,00.7600
00.77001,陶瓷-聚乙烯髋关节置换,00.7700
00.80001,全膝关节假体翻修术,00.8000x001
00.81001,膝关节胫骨假体翻修术,00.8100x001
00.82001,膝关节股骨假体翻修术,00.8200x001
00.83001,膝关节髌骨假体翻修术,00.8300x001
00.91001,与供者有关的活体移植,00.9100
00.92001,与供者无关的活体移植,00.9200
00.93001,来源于尸体的移植,00.9300
00.94001,手术中神经生理监测,00.9400
01.01001,脑池穿刺术,01.0100
01.01002,小脑延髓池穿刺术,01.0100x002
01.02001,经脑室分流导管脑室穿刺术,01.0200x001
01.09002,脑室穿刺术,01.0900x002
01.09003,前囟门穿刺术,01.0900x003
01.09004,硬脑膜下腔穿刺抽吸术,01.0900x004
01.10001,颅内压监测,01.1000
01.11001,经皮脑膜活组织检查,01.1100x001
01.12001,直视下脑膜活组织检查,01.1200
01.13001,经皮脑活组织检查,01.1300x001
01.13002,立体定向脑活组织检查,01.1300x002
01.14001,直视下脑活组织检查,01.1400
01.15001,颅骨活组织检查,01.1500
01.21001,颅静脉窦切开引流术,01.2100x001
01.22001,颅内神经刺激器去除术,01.2200
01.23001,颅切开术部位的再切开术,01.2300
01.24005,开颅探查术,01.2400x005
01.24009,颅内脓肿引流术,01.2400x009
01.24013,硬脑膜外血肿清除术,01.2400x013
01.24014,硬脑膜外脓肿清除术,01.2405
01.24006,颅骨切除减压术,01.2413
01.24007,颅骨钻孔减压术,01.2414
01.24017,颅骨异物切开取出术,01.2415
01.25003,颅骨清创术,01.2500x003
01.25002,颅骨部分切除术,01.2503
01.25004,颅骨死骨切除术,01.2504
01.25007,茎突截除术,01.2507
01.31002,脑膜切开伴蛛网膜下腔血肿引流术,01.3101
01.31005,脑膜切开伴蛛网膜下腔脓肿引流术,01.3102
01.31003,脑膜切开伴硬脑膜下脓肿引流术,01.3103
01.31004,脑膜切开伴硬脑膜下腔血肿清除术,01.3104
01.39001,脑膜切开引流术,01.3107
01.32002,脑叶切开术,01.3201
01.32003,脑神经束切断术,01.3202
01.32004,经皮扣带回切断术,01.3203
01.32005,脑胼胝体切开术,01.3205
01.39002,脑白质切开术,01.3900x002
01.39003,颅内血肿硬通道穿刺引流术,01.3900x003
01.39007,脑切开术,01.3900x007
01.39009,脑内血肿清除术,01.3900x009
01.39012,经外侧裂脑内血清除术,01.3900x012
01.39013,立体定向颅内血肿穿刺引流术,01.3900x013
01.31007,脑脓肿穿刺引流术,01.3900x016
01.24011,脑室钻孔引流术,01.3901
01.39008,脑室切开引流术,01.3902
01.39010,杏仁核海马切开术,01.3903
01.39011,经颞叶脑内血肿清除术,01.3904
01.39014,颅内镜下脑内血肿引流术,01.3906
01.39004,脑内异物取出术,01.3907
01.41002,丘脑切开术,01.4101
01.41003,丘脑射频毁损术,01.4102
01.41001,丘脑化学破坏术,01.4103
01.42001,苍白球切开术,01.4202
01.42002,苍白球射频毁损术,01.4203
01.51001,开颅蛛网膜剥离术,01.5100x001
01.51004,蛛网膜病损切除术,01.5105
01.51002,脑膜病损切除术,01.5106
01.52001,大脑半球切除术,01.5200
01.53001,额叶切除术,01.5302
01.53003,颞叶切除术,01.5303
01.59022,脑室内病损切除术,01.5900x022
01.59030,颅中窝底病损切除术,01.5900x030
01.59032,颈静脉孔病损切除术,01.5900x032
01.59001,鞍区病损切除术,01.5902
01.59002,侧脑室病损切除术,01.5903
01.59005,第三脑室病损切除术,01.5904
01.59006,第四脑室病损切除术,01.5907
01.59007,顶叶病损切除术,01.5908
01.59008,额叶病损切除术,01.5909
01.59009,海绵窦病损切除术,01.5910
01.59013,经额脑病损切除术,01.5911
01.59010,经蝶窦脑病损切除术,01.5912
01.59012,经顶脑病损切除术,01.5914
01.59014,经颞脑病损切除术,01.5915
01.59016,经翼点脑病损切除术,01.5916
01.59017,经枕脑病损切除术,01.5917
01.59019,颅底病损切除术,01.5918
01.59020,脑干病损切除术,01.5920
01.59021,脑囊肿造袋术,01.5921
01.59025,胼胝体病损切除术,01.5922
01.59028,小脑半球病损切除术,01.5923
01.59029,小脑蚓部病损切除术,01.5924
01.59004,大脑清创术,01.5925
01.59033,立体定向脑病损切除术,01.5927
01.59034,脑斜坡病损切除术,01.5928
01.59003,大脑病损切除术,01.5930
01.6001,颅骨病损切除术,01.6x00
01.6002,颅肉芽肿切除术,01.6x01
