00.4500 治疗性操作组_1
00.6300 治疗性操作组_1
00.6600x004 治疗性操作组_1
00.6601 治疗性操作组_3
00.8000 相关手术组_1
00.8201 相关手术组_3
00.8500 相关手术组_1
00.8500x001 相关手术组_1
01.0900x009 治疗性操作组_1
01.2408 相关手术组_3
01.2413 相关手术组_3
01.3105 相关手术组_3
01.5901 相关手术组_3
01.6x00 相关手术组_3
03.0900x003 相关手术组_1
03.3101 诊断性操作组
03.9202 治疗性操作组_1
04.0713 相关手术组_3
04.3x00x033 相关手术组_1
04.3x13 相关手术组_3
04.8101 治疗性操作组_1
06.2x02 相关手术组_3
06.3101 相关手术组_3
06.3900x012 相关手术组_1
07.2102 相关手术组_3
08.2400x001 相关手术组_1
09.8100 相关手术组_1
12.6400 相关手术组_1
13.4100x001 相关手术组_1
17.1200 相关手术组_1
17.1300 相关手术组_1
17.1300x001 相关手术组_1
17.2200 相关手术组_1
17.2200x001 相关手术组_1
17.2300 相关手术组_1
17.2300x001 相关手术组_1
17.2400 相关手术组_1
17.2400x001 相关手术组_1
17.3600 相关手术组_3
17.3900x002 相关手术组_1
18.0900x002 相关手术组_1
18.2100x006 相关手术组_1
20.0100 相关手术组_1
20.0902 相关手术组_1
21.0300x004 治疗性操作组_1
21.0302 治疗性操作组_2
21.3000 相关手术组_2
21.3100 相关手术组_1
21.3101 相关手术组_2
21.3102 相关手术组_2
21.5x00 相关手术组_2
21.6901 相关手术组_2
21.6903 相关手术组_2
22.5300x004 相关手术组_2
22.6001 相关手术组_2
22.6002 相关手术组_2
23.1900x003 相关手术组_1
27.4906 相关手术组_2
27.5100 相关手术组_2
28.2x03 治疗性操作组_2
28.6x00x001 相关手术组_1
28.6x00x005 相关手术组_1
29.3900x001 相关手术组_1
31.1x00x005 治疗性操作组_1
31.4200x003 诊断性操作组
31.4201 诊断性操作组
31.4202 诊断性操作组
31.4400x001 诊断性操作组
32.3000 相关手术组_1
32.3001 相关手术组_3
33.2200x003 诊断性操作组
33.2302 诊断性操作组
33.2400x002 诊断性操作组
33.2403 诊断性操作组
33.3902 相关手术组_3
33.3903 相关手术组_3
33.9903 治疗性操作组_3
34.0401 相关手术组_1
34.4x00x008 相关手术组_1
34.4x01 相关手术组_3
34.4x02 相关手术组_3
34.4x03 相关手术组_3
34.9100 治疗性操作组_1
34.9101 治疗性操作组_1
34.9103 治疗性操作组_1
35.2401 相关手术组_3
36.0400 治疗性操作组_3
36.0601 治疗性操作组_3
